district_id,village_lgd_code,village_name
1,37461,Abadal (229)
1,37679,Abadi Along Khairabad On Ram Tirath Road To Ajnala Road (Og)
1,37674,Abadi Baba Darshan Singh On Ram Tirath Road (Og)
1,37676,Abadi Baba Jiwan Singh On Ram Tirath Road (Og)
1,37683,Abadi Khalsa Nagar Near Kot Mit Singh (Og)
1,37684,Abadi Mirankot On Ajnala Road (Og)
1,37680,Abadi Naushera (Og)
1,37270,Abu Said (250)
1,37642,Achintkot (404)
1,37393,Adliwal (300)
1,37481,Ajaibwali (293)
1,37523,Akalgarh (167)
1,37158,Akbarpura (31)
1,37227,Alampur (151)
1,37252,Aliwal (117)
1,37497,Alkareh (225)
1,949094,Amritsar Sub-Urban (373)
1,949095,Amritsar Urban (387/375)
1,37430,Anantpura (327)
1,37253,Anayatpura (118)
1,37122,Arazi Darya (52)
1,37083,Arazi Kassowala (77)
1,37121,Arazi Kot Rajada (58)
1,37084,Arazi Sahran (75)
1,37788,Arjan Manga (109)
1,37097,Arzi Sanghoke (69)
1,37787,Athwal (203)
1,37444,Athwal (313)
1,37654,Attari (392)
1,37204,Audar (181)
1,37160,Awan Basau (28)
1,37219,Awan Lakha Singh (159)
1,37109,Awan Near Ramdas (94)
1,37849,Baba Bakala (Ct)
1,37599,Babarke (358)
1,37505,Babowal (191)
1,37206,Bachi Wind (183)
1,37480,Bagewal (296)
1,37774,Bagga (207)
1,37316,Bagga (316)
1,37659,Bagrian (418)
1,37305,Baihar Wal (336)
1,37117,Bajwa (99)
1,37155,Bakraur (131)
1,37623,Bal (345)
1,37614,Bal Kalan (340)
1,37617,Bal Khurd (339)
1,37130,Bal Labe Darya (49)
1,37830,Bal Sarai (7)
1,949101,Bal Sarai Khurd (429)
1,37768,Bala Chak Mashmula Khaire(194)
1,37368,Balaggan (320)
1,37801,Balai Pur (72)
1,37420,Balbawa (274)
1,37535,Balia Manjhpur (129)
1,37140,Ballaharwal (44)
1,37776,Ballowali (186)
1,37531,Bamma (158)
1,37725,Banian (90)
1,37780,Banjar Wal (100)
1,37311,Barar (331)
1,37162,Barlas (135)
1,37694,Basarka Bhaini (Attari Road) (Og)
1,37593,Baserkegillan (417)
1,37352,Bath (290)
1,37769,Bathu Chak (197)
1,37824,Bedad Purah (45)
1,37166,Behlol (29)
1,37749,Berian Wala (78)
1,37261,Bhadal (103)
1,37646,Bhadiar (401)
1,37195,Bhadru (2)
1,37178,Bhaggupur Bet (15)
1,37185,Bhaggupur Uttar (9)
1,37572,Bhagtupura (260)
1,37696,Bhaini Badechhian (87)
1,37133,Bhaini Gill (47)
1,37471,Bhaini Lidhda (312)
1,37834,Bhaini Ramdial (48)
1,37143,Bhainian (39)
1,37615,Bhainigillan (341)
1,37328,Bhakha Hari Singh (227)
1,37635,Bhakna Kalan (408)
1,37634,Bhakna Khurd (409)
1,37385,Bhala Pind (306)
1,37237,Bhalot (140)
1,37450,Bhangali (302)
1,37435,Bhangwa (326)
1,37530,Bhangwan ((159)
1,37209,Bhangwan (170)
1,949097,Bharariwal Sub Urban (374)
1,949096,Bharariwal Urban (378)
1,37669,Bharopal (427)
1,37756,Bhatti Ke (99)
1,37628,Bhaul Kalan (350)
1,37506,Bhilowal (179)
1,37188,Bhilowal Kake Zain (165)
1,37701,Bhindar (17)
1,37173,Bhindi Aulakh Kalan (22)
1,37169,Bhindi Aulakh Khurd (23)
1,37168,Bhindi Nain (20)
1,37172,Bhindi Saidan (24)
1,37315,Bhitte Wind (192)
1,37783,Bhoewal (201)
1,37388,Bhoewali (238
1,37141,Bhogan (42)
1,37500,Bhoia Fatehgarh (228)
1,37442,Bhoma (315)
1,37699,Bhorchhi Brahmanan (85)
1,37698,Bhorchhi Rajputan (86)
1,37760,Bhu (184)
1,37294,Bhullar (190)
1,37513,Bhullar Hans (176)
1,37333,Bhure Gill (247)
1,37810,Bhuttar Sivia (63)
1,37618,Birbarpura (336)
1,37574,Bishambarpara (143)
1,37583,Bodh (276)
1,37439,Bodhe Wal Aphgana (318)
1,37345,Boharwala (271)
1,37280,Bohlian (216)
1,37584,Bohru (269)
1,37758,Bolara (114)
1,37778,Boparai (185)
1,37376,Boparai Baj Singh (323)
1,37375,Boparai Kalan (324)
1,37374,Boparai Khurd (325)
1,37469,Borewal King (301)
1,37731,Bothangarh (125)
1,37394,Bua Nagli (299)
1,37437,Budda They (320)
1,37850,Budha Theh (Ct)
1,900403,Budha Theh (Ct.)
1,37125,Budha Warsal (54)
1,37707,Bule Nangal (11)
1,37543,Bundala (138)
1,37174,Burj (19)
1,37446,Burj Naubad (306)
1,37820,Butala (52)
1,37721,Butari (82)
1,37581,Chabba (267)
1,37451,Chachowali (216)
1,37257,Chaharpur (106)
1,37321,Chahia (208)
1,37367,Chainpur (319)
1,37202,Chak Allah Bakhash (179)
1,37242,Chak Aul (129)
1,37136,Chak Bala (111)
1,37233,Chak Bazid (145)
1,37248,Chak Dogran (124)
1,37229,Chak Fateh Khan (143)
1,37595,Chak Heir (411)
1,37289,Chak Kamal Khan (197)
1,37214,Chak Misri Khan (163)
1,37423,Chak Phoolan (222)
1,37418,Chak Sikandar (276)
1,37823,Chak Thattian (44)
1,37632,Chakmukand (363)
1,37330,Chamyari (236)
1,37789,Chandan Ke (110)
1,37474,Chande (309)
1,37569,Chatiwind (278)
1,37522,Chatiwond Lehla (175)
1,37536,Chauhan (123)
1,37501,Chawinda Devi (234)
1,37307,Chawinda Khurd (338)
1,37310,Chawindha Kalan (339)
1,37298,Cheleke (341)
1,37407,Chetanpura (283)
1,37728,Chhajjal Waddi (127)
1,37144,Chhanna (41)
1,37187,Chhanna (8)
1,37561,Chhapa Ram Singh (255
1,37711,Chhapiar Wali (32)
1,37373,Chhiddan (333)
1,37282,Chhina Karam Singh (210)
1,37638,Chicha (414)
1,37713,Chima Bath (21)
1,37516,Chogavan Ropuwali (239)
1,37508,Chogawan (182)
1,37425,Chogawan (329)
1,37217,Chuchakwal (158)
1,37812,Chung (67)
1,37517,Dadhala (238)
1,37483,Dadian (291)
1,37127,Dadian (55)
1,37096,Dadra (68)
1,37362,Dadrai (308)
1,37433,Dadupura (329)
1,37180,Dag (12)
1,37207,Dala (184)
1,37384,Dalam (307)
1,37138,Dalla Mallian (114)
1,37139,Dalla Rajputan (113)
1,37303,Dalleyke (347)
1,37648,Dande (394)
1,37804,Danial (38)
1,37668,Daoke (426)
1,37128,Darya Mansur (51)
1,37113,Darya Mussa (63)
1,37808,Daud (71)
1,37829,Dera Baba Jaimal Singh (428)
1,37549,Devi Dass Pura (155)
1,37815,Devidas Pura (62)
1,37512,Dhadde (235)
1,37667,Dhaini Rajputan (425)
1,37112,Dhangai (93)
1,37650,Dhanoya Kalan (388)
1,37651,Dhanoya Khurd (389)
1,37286,Dharam Kot (200)
1,37539,Dharar (87)
1,37809,Dhardeo (70)
1,37504,Dharike (192)
1,37365,Dhariwal ((310)
1,37203,Dhariwal (180)
1,37357,Dhariwal (237)
1,37750,Dhariwala (95)
1,37781,Dharmo Chak (101)
1,37592,Dhatal (360)
1,37630,Dhaulkhurd (352)
1,37532,Dheere Kot (156)
1,37805,Dhian Pura (30) (Part)
1,37134,Dhian Singhpura (46)
1,37476,Dhing Nangal (308)
1,37645,Dhodiwind (400)
1,37724,Dhulka (79)
1,37236,Dhundal (141)
1,37263,Dhurian (100)
1,37163,Dial (134)
1,37350,Dial Bharang (254)
1,37335,Dialpura (252)
1,37479,Dialpura (295)
1,37254,Diyal Bhatti (109)
1,37118,Dujowal (60)
1,37710,Dule Nangal (33)
1,37577,Dut (140)
1,949100,Fatahpur (377)
1,37607,Fatehgarh Sukarchak (252)
1,37556,Fatehpur Rajputan (254)
1,37246,Fatehwal (123)
1,37167,Fattah (21)
1,37098,Foolpur (67)
1,37527,Gaddli (160)
1,37764,Gaddorajada (190)
1,37099,Gaggar (66)
1,37821,Gaggar Bhana (43)
1,37199,Gaggarmal (176)
1,37272,Gaggo Mahal (248)
1,37256,Galib (107)
1,37665,Gallowal (423)
1,37434,Galowali (331)
1,37602,Gaunsabad (353)
1,37338,Gaurey Nangal (259)
1,37529,Gehri (157)
1,37644,Ghairnda (402)
1,37782,Ghanishampur (111)
1,37643,Gharindi (403)
1,37836,Ghaziwal (47)
1,37833,Ghaziwal Miani (5)
1,37165,Ghoga (27)
1,37086,Ghonewala (78)
1,37793,Ghugat Wind Muslmanan (104)
1,37399,Ghukeywali (296)
1,37101,Ghumrai (64)
1,37524,Gill (168)
1,37132,Gill (48)
1,37568,Gilwali (277)
1,37490,Gopalpur (245)
1,37441,Gosle Zamindara (316)
1,37440,Gossal Aphgana (317)
1,37247,Granthgarh (125)
1,37794,Gugat Wind Hinduan (105)
1,37276,Gujjarpura (121)
1,37152,Gulgarh (32)
1,37686,Gumanpura (357)
1,37604,Gumtala Sub Urban (370)
1,37685,Gumtala Urban (383)
1,37533,Gunowal (134)
1,37250,Gurala (120)
1,37341,Hailar (267)
1,37600,Hamidpura (355)
1,37443,Hamza (314)
1,37334,Harar ( Near Bhure Gill ) (246)
1,37274,Harar Kalan (235)
1,37273,Harar Khurd (119)
1,37415,Hardo Putli (278)
1,37652,Hardorattan (391)
1,37624,Hare (347)
1,37482,Harian (294)
1,37383,Harse Cheena (311)
1,37705,Hasan Pura (14)
1,37161,Hashampura (133)
1,37225,Hassanpura (154)
1,37596,Heir (410)
1,37189,Hetampura (7)
1,37640,Hoshiar Nagar (406)
1,37587,Iban Kalan (275)
1,37586,Iban Khurd (274)
1,37329,Ibrahimpura (233)
1,37323,Isapur (211)
1,37732,Jabbowal (123)
1,37148,Jafarkot (128)
1,37609,Jagatpur (248)
1,37397,Jagdev Kalan (297)
1,37137,Jagdev Khurd (112)
1,37613,Jahangir (287)
1,37240,Jai Ram Kot (136)
1,37452,Jaintipura (215)
1,37448,Jajiani (304)
1,37844,Jalal Pur Sheron (55)
1,37806,Jalalpur Sathiala (37)
1,37477,Jalapura (298)
1,37792,Jallal (102)
1,37827,Jallo Wal (34)
1,37702,Jallupur Khaira (16)
1,37840,Jamal Pur (57)
1,37562,Jand (150)
1,37405,Jandiala (285)
